comments,category
PNR 8201509276 Sir at Bhusaval Jn cold drinking water is sold at Platform1 which is not RO check reliability punish,staff complain
PNR 8203151479Trn:16339Mobile charging point not workingS10 71,poor service
PNR 8265591556 LTT to GKP KUSHINAGAR express departed at 11 pm on 02 03 18 and run of water in washroom by 7am on 03 03,hygiene
PNR 8265591556 Train departed at 10:45pm on 02 03 and B2 coach run out of water supply in washroom by Morning 7 am on 03 03,hygiene
PNR 8300081072Trn:12902P1 RC B7 31P2 RC B7 31 request for 2 bedroll as have paid full fare for 2 RAC tickets Ideally rac tickets should be charged half as they are getting half seat,poor service
pnr 8302477351 bct adi duranto a3 coach Old 2ac coach All doors of each compartment making noise Also few parts of coach making noise due to vibration No one can sleep Waste of money,poor service
PNR 8302934751Coach B5Train No 12903Complain : No water in wash rooms,poor service
PNR 8302999972 train #17642 AC NOT WORKING PLZ HELPY,poor service
PNR 8303138966 Train 22958. Restrooms / washroom not clean and without tissues,hygiene
PNR 8303180406 Left my charger on berth A2 36. Kindly find it if possible. Very expensive and necessary.,request new service
PNR 8365134534 toilets in the train stinking badly of urine Not in a usable state Please get it cleaned Thanks for help,hygiene
PNR 84239 82004When enter up it's suck more than an hour delay railway up employee will never work in his life,train delay
PNR 8424744718 need help,security problem
PNR 8424911327 in app it's showing amount has been refunded but I haven't received any refund please explain?,poor service
PNR 8425001284 i am traveling in this train for last 15 years this train reaches madurai on time after that it takes about 2 to 3 Hours late to reach virudhunagar Today also for last 30 Minute this train is in madurai Sir Do Something,train delay
PNR 8425074132. Reservation from Pune To BSB in second AC A1/41 RAC. I am female but the other passenger travelling on same seat is male and creating lot of issues. Kindly look through the issue if the confirm berth can be allotted as i am facing lots of issues.,security problem
pnr 8425181008 in my coach one person is drunk and i am feeling unsafe,security problem
pnr 8425249144 in our coach ac is not working or very low looking like sleeper so please increase cooling because staff or tte is not here,poor service
PNR 8425359357Trn:12101Dt:10 03 2018Frm LTT to HWHCls:SLP1 S3 RC 71 TTE still awaited to come and check the tickets and allot berth for RAC on availability,staff complain
pnr 8552296146. Is this reserved compartment or general and plz check the cleanliness in the wash basin and toilet . Water is also not there in seat no 1 side bathroom and seat 72 side wash basin is dirty. Plz clean at the earliest.,hygiene
pnr 8556322093. Boarding station Kota. Coach very dirty. Empty cans,hygiene
PNR 8556538468 Train no11463 01 03 2018 It's RAC seat for 2 persons how come only 1 pillow is given As per attendant only 1 pillow is per seat given by rly on request pro Kindly arrange 2 nd pillow since cntly not avl with attendant Next stpage is vadodara,poor service
PNR 8556547545 kindly help to find lower berth for senior citizen. Tc is not able to help,request new service
PNR 8556612116 I asked ticket clerk in Khandwa Junction to pay the ticket amount via BHIM App but he said the facility is still unavailable here What about being Digital ? #DigitalIndia #pmoindia Please help,poor service
PNR 8556634271 train stop 10Km before ACOI local drunken vendor roaming in coach teasing passenger's,security problem
Pnr 8601763079.Corruption at it's best. Pantry car vendors taking 20% and approx extra price on food items. On asking for railway price list they are saying we have our rate. kindly share updated rate list as it may be I have old one & ask them to carry rate list.,staff complain
PNR 8602 833420 11402 S6 coach filled with non reserved passengers no TC no RPF taking action why are we paying extra fare for reservation if the condition is worst than general coaches?,security problem
PNR 8602 833420 11402 S6 coach filled with non reserved passengers no TC no RPF taking action why are we paying extra fare for reservation if the condition is worst than general coaches?,staff complain
PNR 8602642239Coach AB1 need cleaning of coach Plzz fix it as soon as possible sir,hygiene
PNR 8603140921 Train 12010 excellent service . Keep it up,appreciation
PNR 8603140921 Train 12010 excellent service Keep it up,appreciation
PNR is 2441982798 named Arpit Dwivedi and I didnt get my money(Rs.985) back even after 7 days of cancellation and many mails,refund
pnr is 2443310030 There is no light available in whole coach so neither fan nor light will be ON help us in this please,poor service
pnr is 272103788 train kashi exp 14257 staff nd food is good,appreciation
pnr no : 2605297189 train no : 12039 Food and service provided by career was good I got food from KGM to Delhi snacks soup dinner ice cream was very good,appreciation
Pnr no . 641 126 6791 .my train is not moving from Jhajha station. in 3hr it travelled 20 km. Please look into it. Its already 12 hr delayed.,train delay
PNR NO 2142316308 no conform one months before booked ticket it's to hard and impossible to return back from Gorakhpur every time it's repeated need more coaches,request new service
PNR no 2143537342 want to change boarding point.. Can we do that.. Actually we cannot reach varanasi by the train timing so want to catch from allahabad,request new service
pnr no 2243369186 train no 12034 Food quality at par cleaness good and staff behavior good,appreciation
PNR no 2243377228 vendor charge rs 50 for one bread omelette why overcharge ?,staff complain
pnr no 2340993752 used bedsheet n unclean towel provided .... i dnt knw whats the issue in peoviding clean bedsheet n towel ??? it happens every now n then.....rajdhani 12302,poor service
pnr no 2343170104 G2 35 Gd mrng but no water in toilet wat kind of gd morning Pl don' t ruin d image of 4India Pathetic conditn without watr disgusting Wil u evr travl withiut watr??imagine,hygiene
PNR No 2440912683 very poor maintenance of coaches Charging points not working Hand shower in the toilets are broken and abandoned Toilets not clean panels at door entry point in the coach create entry exit problem and many more,poor service
PNR No 2440912683 very poor maintenance of coaches. Charging points not working. Hand shower in the toilets are broken and abandoned. Toilets not clean. panels at door entry point in the coach create entry exit problem and many more.,poor service
PNR NO 2443250898 Train no 12956 catering staff is charging 50 rs insted of 30 rs as give in rate list given by Indian railway on tweeter When i hv shown him the rate list the staff has refused to provide breakfast as per the prescribed rate pl Take some action,staff complain
PNR No 2443296851 Will u inquire why train no 12057 was not given signal to proceed for ten minutes at Morinda railway station causing delay inconvenience to passengers to general public as train was made to halt on crossing,train delay
pnr no 2502160966 travelling form old Delhi to 01 03 2018 coach no SE1 or berth no 71 i face the problem of charging socket it's not work properly so please resolve the problem And my mobile no 9696088881 thanking you,poor service
PNR No 272 1463621 Please change the dustbin of coach number B2 It's overloaded with wastage,hygiene
Pnr no 2722150196 Horrible condition of train toilet This is the condition of ur two tier coach Lot of people are troubled No one able to go inside Toilet seems like hell No house keeping Plz provide on board support,hygiene
pnr no 2723135314The tte keeps on coming again and again to check the tickets of pasengers switch on the lights but doesn't switch them off please sensitise ur staff about comfort of top berth passenger,staff complain
pnr no 2724192591 from bsb to anvt status has been changed from rac to wait list I don't know kind of service you are providing,poor service
pnr no 2724296945 my Seat is captured by another man is is arguing with ladies plz help train name chapra tata express,security problem
pnr no 2823242392 sir used pillow covers are provided bedsheets are dirty and soap and sanitary napkins not available in toilets and is also dirty and unhygienic,hygiene
pnr no 3655204772 traveling by 12840exp Pantry car not supplying Rail neer on demand of rail neer they are only supplying,poor service
Pnr no 4341292541 train no 12829 Mas to Bam this train not starting from Chennai central but this toilets are full of dirty and jam not in used condition Kindly look into the matter It's hilarious,hygiene
PNR NO 4442000318 Came to VPT Station in platform No 1 The coach Display was not working kindly look into the matter passengers will suffer for not knowing the coach position,poor service
PNR No 4442286649While booking it was showing available but post payment got a waiting ticket she is traveling alone with a baby for an emergency pls check and help for the confirmation n if possible a lower berth,poor service
pnr no 4643749499 train no 12649 s8 washbasin are choked plz help,hygiene
PNR no 6111562190 order veg Meal curd water,poor service
PNR no 6111767176 Out of three fans one fan is not working in my compartment of train no 13351 S4 coach Please look in this regard as soon as possible,poor service
PNR NO 6211968723No any response for bell switch in HAE B 8 No any attent in this choach No food service plz provide these service immidiate Mob 8294009860,poor service
pnr no 6311150369 11 hrs ? ?,train delay
pnr no 6311150369 11 hrs ? ?,train delay
Pnr no 6312073405Train always stop at every non stopping station for half an hour,train delay
pnr no 6312089925 no water supply,poor service
pnr no 6407691048 train no 1405512 Hr journey train late by 8 Hr Why sir ???????,train delay
Pnr no 6411989527 bogi S2 please clean toilet,hygiene
pnr no 6511211241 train no 22914 one of the costliest train in India and washrooms are smelling like hell no complaints taken by tc No towels provided by attendant from Patna train is about to reach jabalpur kindly help,poor service
Pnr No 6511920184 Train No 13147 Water not avilable in S7,poor service
pnr no 6512329174 boarded at Gwalior no bedding given by attendant at palwal when queried says TC saab Did not tell me and reporting will make no difference we are private contractors pathetic railways response,staff complain
PNR no 6609999443 6312176739 third time I'm complaining in such case but can't see any action has been taken Today pantry man charged 110 for wrost quality dinner Ministry of railways should take punitive action who voilet IR rules Hope for btermt,poor service
PNR no 6609999443 6312176739 third time I'm complaining in such case but can't see any action has been taken Today pantry man charged 110 for wrost quality dinner Ministry of railways should take punitive action who voilet IR rules Hope for btermt,poor service
pnr no 6611984668Train no 12023 waiting for train at jasidih station no update on rail saarthi train getting rusted at madhupur don't you guys have any responsibility ?,staff complain
PNR NO 6708425470 traveling in 18637 in coach B2 bathrooms are very dirty and stinking plz do something Thanks,hygiene
PNR No 6709872166 travelling with Family in Dibrugarh Rajdhani to Delhi Toilets are very dirty No one to look after Please Care for Rajadhani Trains,hygiene
PNR No 8202726178 On duty attendant denied bedding during night hours and ill treated passenger on Navjeen Express Coach B1 #TakeAction,staff complain
PNR no 8302630461 Travelling from Dadar to My UK Train no 19115 All pillow covers are so dirty Seems to be not washed at all Blankets are smelly What is this service?,hygiene
PNR No 8302753473 Train 12121 No towel in bed sheet packet On asking attendant for face towel He denied Searching TTE for resolution not found Attendant name Vinod,staff complain
pnr no 8302773004 piyush jain birth no sir i have left my luggage in the bogie no s 1 of bhopal jhodhpur express the luggage was kept on one of the fan of cabin in which seat no 20 was there where i was sitting,security problem
Pnr no 8302840036coach no S5birth no 1very dirty coach full of garbage dirt it is very none hygenic condition please do clean as soon as possible no TT available near by the coach,hygiene
Pnr no 84245911800 pillow size is too small it's not useful,poor service
PNR no 8425504903 train no 12925 TT not accepting Aadhar card as a identity when showing on digilocker please clarify them,staff complain
PNR No 8556989602 surprised to see amount of unreserved people travelling in train no 12187 Jabalpur Mumbai Garib Rath,staff complain
PNR NO 8602925939 TRAIN NO 11061 A1 BOTH WASHROOM TOILET FLUSH IS NOT WORKING CAUSING VERY BAD SMELL DEPARTED FROM BHUSHVAL SIR PLS DO SOME NEEDFUL,poor service
PNR NO 8602925939 TRAIN NO 11061 A1 DEPARTED FROM BHUSAWAL BOTH WASHROOM FLUSH IS NOT WORKING CAUSING VERY BAD SMELL,hygiene
pnr no 8603042507 train departured more than 1 hour ago but no attenders in train we have not received any blanket we shivering due to cold,poor service
pnr no is 8302976147 train no 51402 the train between Manmad to Pune which is always late by 2 to 3 hours daily how can you justify this really bad,train delay
pnr no-8556860273 and coach no-s2 mobile plug point not working I request to sort out the issue as soon as possible,poor service
PNR No:2142423473 Status shows refund has been given No Money has been credited yet Checked with has been almost 18daysBank shown KMB which is not the bank it is the payment gateway Please understand and refund,poor service
PNR No:2142423473 Why can't I get refund for any tickets I book Why do you refund it to the payment gateway rather than the bank from which it is paid I am not getting any refunds And no response This is serious,poor service
Pnr no:2822616001 6510774748 really horrible extra charges for superfast trains should be returned rajdhani late by 5 hrs in both journeys Check this out from The Times of India1 5 lakh trains delayed in last 11 months 9Jca4 a19ei really shameful,train delay
Pnr no:2822616001&6510774748.really horrible ...extra charges for superfast trains should be returned..rajdhani late by 5 hrs in both journeys..,train delay
pnr no:6511915417 train late by 4hours shame full thing,train delay
PNR no. 2505028072 train no. 12040 good quality food and well glommed service on fresh morning.. its a new experience for me,appreciation
pnr no. 6611771917 one ticket not confirmed & refund not received,refund
PNR NO. 8302279969 Cancellation id. 100000217708861 cancellation date 12 feb 2018 .refund amount is not yet recevied in account.,refund
PNR NO. 8555876657 ( my train was late ) sir many a times my train gets late and i arrive late to my college,train delay
PNR no.223870202 girl name was Prerana Singh was not allowed to board in the train while she holding a valid ticket .Gate was not opened for her she kept on knocking on the  this wa indian railway works ?,poor service
PNR no6111969596 train no14055 s 8 sir train late 10 hours I not able to reach office on time toilet are very dirty please take care water also not available,train delay
PNR Number 4655092081 AC cooling is not proper and cant find any attendant,poor service
PNR number 4861944391 some person are making lot of noise plz solve,security problem
PNR number 6111377256 Toilet are unhygienic and clogged Please send cleaning staff Thank you,hygiene
PNR was 8200736644 Train was more than 3 hours late I cancelled the ticket and filed TDR then got only 1450 Rs instead of 2900 Rs Can you please suggest me the reason and solution ?Who is responsible for same ?,train delay
PNR- 2342 156 048. TTE borad the train in delhi and left at tundla.This TTE allocated in B3 coach.,staff complain
PNR-2339706716:14674 late by 9hours such a pathetic service,train delay
pnr-611661843 train is getting stopped at many stations after mka kindly help I hv a connecting train to catch,poor service
PNR: 2439871745 please check this train seduel,train delay
PNR: 2443245499 got d msg of RAC but after chart it bcoms WAITING 2 pls let me know why this happens,poor service
PNR: 6308737010 train: 11062 no water flush button not working blockage of bathroom basin bathroom stinking no light in some bathroom Please take immediate action ASAP,hygiene
PNR: 6311926544 Need ORS Glucose for a sick baby with my journey Please help,security problem
PNR: 6610588345 Many people with waitlist no tickets are sitting on my reserved seats which are not allowing to open my seats and sit on my reserved seats at this time also I am forced to lie on middle birth,request new service
PNR: 8200241555 TRAIN NO 19039 COACH B2 46 PLEASE CLEAN THE COACH AREA Mo 9925211229,hygiene
PNR: 8425239031 Train: 17222 3AC B4 All the toilets are very dirty No staff came to clean the coaches on LTT station No cleaning done in toilets and coaches We waited at LTT for 1 hour and even then the train is not clean Contact: 9502242742,hygiene
PNR: 8602921829 We're two RAC passeners sitting in the Side Lower berth and the Side Upper guy rudely behaving stating that I'll sit in Side Lower only There's no TTE to complain What should we do? How can 2 persons share a half berth?? Feeling irritared,security problem
PNR: 8701857219 travelling currently A fellow passenger in coach B1 seat 32 is snoring realllllllly loud It's disturbing everyone Please helpp,security problem
PNR:2143685151 TRN:12226 M HAMID+3 A1 2 A1 6 A1 12 A1 4 Fare:5615 64 Very bad system,poor service
PNR:2342827504 TRAIN:14218 JITENDRA KUMAR no clealiness in s3 coach toilets even water supply is not there in these toilets please take action thank you,hygiene
PNR:2342827504 TRAIN:14218 JITENDRA KUMAR no clealiness in s3 coach toilets even water supply is not there in these toilets please take action thank you,hygiene
PNR:2505475897Ac too cold and have complained but by decreasing the temperature,poor service
PNR:2601083638 TRAIN:12582 DOJ:01 03 18 2A No water supply in washbasins only tap near toilet seat is giving water,poor service
PNR:2723941953 Train 22453 is delayed from LUCKNOW NE Expected departure:01 03 2018 15:40 hrs,train delay
PNR:2723980150 TRN:03430 DOJ:06 03 18 2A ANVT BXR DP:17:10 GIRDHAR MISHRA A1 17 Fare:2095 Train is standing on source destination platform from one and half hour Worth of money and time not a single change in indian railways system as UPA GOVT or NDA GOVT SHAME,train delay
PNR:2824402597 TRN:15904Fan is not working in whole compartment,poor service
PNR:4242219770 partially CNF ETKT TTE deboarded the WL passenger from train pregnant lady in TEN station whereas husband got CNF with same PNR rules permit to travel in partial confirmed PNR whereas TTE didnt consider pregnant lady request leaving her stranded,staff complain
PNR:4342118435 TRN:16580 DOJ:05 03 18 D1 coach is smelling like toilet We are traveling with foul smell Can you please help,hygiene
PNR:4342155883 TRN:17641 DOJ:06 03 18 CC NED AKSANGEETA GUPTA C1 15 Tc is harrassing my mother in law Coz she doesn't hav hard copy of adhar card She is traveling alone kindly look into it Thank u,staff complain
PNR:4440041495 TRAIN:19567 DOJ:04 03 18 Balasabareesh NR I could not be able to board at booked station due to personal reason and unable to change the boarding point as well at this point of time Will be boarding at Madurai Jn Help me with this,train delay
pnr:4441914288 B7 berth 50 56 very poor cleaning of toilet train running exceptionally late why taking dynamic fare for poor performance,hygiene
PNR:6107942947Train getting 1hr late after every 3hrs 27hrs passed and now train is about 9hrs late Giving clearance to all other train why?Plz do needful,train delay
PNR:6212046334 Train:14005 Please update y this train is delayed by 11hrs?,train delay
PNR:6311140697 Train 13237 is getting repeatedly delayed from PATNA JN Expected departure:11 03 2018 04:00 hrs The train is late by approx 17 hours,train delay
PNR:6412047600 Is this possible dear indian railways that i can board this train today No record or location has been traced of this train,poor service
PNR:6512222578 TRN:12487 DOJ:10 03 18 3A Train is getting delayed continuously Local make water bottles being sold for 20rs,train delay
PNR:6611653454 Train 01348 is delayed from PATNA JN. Expected departure:01-03-2018 00:30 hrs.,train delay
PNR:6611695911 TRAIN:12309 DOJ:12 03 18 3A PNBE NDLS Dep:19:25 SITA PANDEY B9 3 My mother 76 yr old is travelling alone She requested for a lower berth But not getting It will be great of she could get a lower berth,poor service
PNR:6611695911 TRAIN:12309 DOJ:12 03 18 3A PNBE NDLS Dep:19:25 SITA PANDEY B9 3 My mother is travelling alone She is 76 yr old It will be great help if she could get a lower berth,request new service
PNR:8103198237 TRN:12293 sir there is no AC attendant in B10 coach since last 2 hrs,staff complain
PNR:8203027805 TRN:17412 seat no 25 and 28 cushion quality is VERY POOR Same thing I noted in PNR:8202906617 TRN:11023 seat number 20 in couch b3,poor service
PNR:8300473764 TRAIN:12493 DOJ:11 03 18 3A PUNE KOTA Dep:05:15 SRIHARI+1 B2 25 B2 26 The attendant from B1 misbehaved with me and also pushed me back when asked for bedsheets,staff complain
PNR:8300473764 TRAIN:12493 DOJ:11 03 18 3A PUNE KOTA Dep:05:15 SRIHARI+1 B2 25 B2 26 The attendant from B1 misbehaved with me and also pushed me back when asked for bedsheets,staff complain
PNR:8302838401 TRAIN:12010 Why regularly reaching Late at Borivali Then kept 50 minutes in time table to Mumbai Central which is 30 mins so can be shown as on time in records,train delay
PNR:8424929155 Train 01657 is delayed from HABIBGANJ. Expected departure:28-02-2018 23:30 hrs. Passenger Name Mr Rakesh Raushan train delayed by 7hrs and more no imformation when train will start. #worstindianrailway,train delay
PNR:8557009851 This is my all details i need food to order But not getting food on e catering services,poor service
PNR:8703002409 boarding the train only to know the compartment is stinking with spilled food And being denied cleaning after 10 PM Travelling in premium train paying high fare and receiving disgusting service,hygiene
PNR:8703132162 here in dz train tea maker is chrgng rs10 per tea i askd y u r chrgng mre he is syng dat m nt frm Canten m frm outside so Wat is dz gng on in railways I dnt understand y actions r nt tkn fr dz,poor service
pnr# 671 172 6924 please help us to switch on the fans and switch off the light as its not working I have tried all jugad Thanks,poor service
PNR2142739506 with 3 confirm tickets in 1st ac At the time of charting D Grade 1 passenger into 2nd ac To accommodate passengers under HO quota TDR filled online refno 100000220019 Now received message TDR repudiated Siwa what a indian railway,poor service
PNR2142739506 with 3 confirm tickets in 1st ac At the time of charting D Grade 1 passenger into 2nd ac To accommodate passengers under HO quota TDR filled online refno 100000220019 Now received message TDR repudiated Siwa what a indian railway,poor service
pnr2505429016 my tcat book from gzb but steel train not start from bareli what happen plz rply,train delay
PNR4142388793 TRAIN No 22808 A1 38 Reading Lights not working please look into it,poor service
pnr6108131413 R Kumar Train No 22844 Coach no AB1 Bearth7 ladies purse theft at asansol stn already tried on 138 not responding inform RPF Purulia but no use,security problem
pnr6108131413 R Kumar Train No 22844 Coach no AB1 Bearth7 ladies purse theft at asansol stn already tried on 138 not responding inform RPF Purulia but no use,security problem
pnr6512088836 standing at barabanki since one hrs Pls ensure punctuality else stop operating special trains,train delay
pnr6711988756Train is 7 hours late stuck in allahabad will miss my bus to himachal tomorrow Please help if you can,train delay
PNR8302539966 Train 12216 coach G 3 AC cooling is very low inform to coach action taken,poor service
PNRNo 22419736 train no 15036 train is being stopped at hapur for long AC not working in C2 It's suffocating please help us Railway is living up to its reputation of dismal performance,poor service
pnrno 8603280016 sir I travel bogey c 4 and in side very penny voice in coch,hygiene
pnrno 8603280016 sir I travel bogey c 4 and in side very penny voice in coch,poor service
PNRNO:2241923736 train 15036 stopped first at Garh Mukeshar and now at Hapur for long duration and Ac also syopped working will I get my fair back for Ac not working in Ac chair car,poor service
Pooja express 2nd AC seat 40 food co tractor not supplying water bottle Asking g si CE morning 5 am always saying g next station,staff complain
Poor benchmarks #DigitalIndia,poor service
poor n pathetically dirty condition of Railway Tracks at Danapur Railway Station platforms..No cleanliness done and only gammacksin powder is put. Its all dirty around and interestingly DRM office is here SHAME!!  pic.twitter.com/8AtnXlFoY7,hygiene
Poor rail service lack of awareness passonger facing issue. pic.twitter.com/m4soyPXgJS,poor service
Poor service of indian railways Train 07009 already 4 hrs late from source and still not showing any info about the train at Secunderabad station,train delay
Poor service of indian railways Train 07009 already 5 hrs late from source and still not showing any info about the train at Secunderabad station,train delay
Poor service of indian railways. Train 07009 already 4 hrs late from source and still not showing any info about the train at Secunderabad station,train delay
Poor service of indian railways. Train 07009 already 5 hrs late from source and still not showing any info about the train at Secunderabad station,poor service
Poor service of pantry staffs No drinking water delivery in 2 and half an hour from the departure of train from its source station Train No 12393 S 1,staff complain
Poor services in Kaifiyat Express from AMH to NDLS,poor service
Poorva express 12304 standing on outer since last one hour in Mughalsarai. Unable to understand why delaying the train,train delay
position of Sleeper coach in 11402 Nandigram PNR:8425460541,request new service
powerplug not working at coach no s6 of 15613 kyq mzs exp Please take necessary action asap,poor service
Powerplug was notworking of AB2 coachTrain No18213 seat no24 and cost of AC2nd classwas1450rs really unpleasant for passengers,poor service
Ppl are traveling without ticket in Reserved compartment as well And the worst part is there is no Ticket checker in the train This can happen only in India,security problem
prabhug For short distance travel we are paying min 200 km charge due to which many people dont do reservation and bribe TTE for seating in AC or sleeper coaches Pls lower the min km for short travels,staff complain
prabhug Travelled in Nandigram Express Mum Ned last Night in 2AC Had Many Cockroaches for company that too without tickets Hope 2 see some action #SwachhBharat begins at home,hygiene
prabhug Yesterday 01 03 2018 New passenger escalator opened at Alleppey Railway station platform no: 1 Thanks to Railway ministers and officials Awaiting more facilities SoonThanks a lot once again,appreciation
pradesh varanasi city illegal wendor in maduwadeeh railway station 17618555 html,security problem
pranam london uk1 100 indian rail inside free wifi internet start give book for reading inside indian railway charge 5 rupees 2 both side rail track grow all indian fruit flower vegetable,request new service
Pratapgarh Station pe washroom aur pene ka Pani nahi please look.. pic.twitter.com/RPtMZT7emn,hygiene
Prayagraj exp The first time I travelled through this train Perfect timings Neat and clean Kudos to indrail,appreciation
Prayagraj exp The first time I travelled through this train Perfect timings Neat and clean Kudos to indrail,appreciation
Prayagraj exp. The first time I travelled through this train. Perfect timings. Neat and clean. Kudos to indrail.,appreciation
previous system of payment was good current payment system is vey bad my 2 transaction is failed BHIM transfer option also not available make all bank debit card with pin option available,request new service
Price of package drinking water and food still out of control of Indian railways How much time it will take to control these small issues,poor service
prime Station like Dadar has no swipe machine to get AC train season pass forget about other station What do we expect for digital India,poor service
Project Saksham I have attended the mandatory program arranged and executed by CAO CN MS Southern Railway which was very helpful and I thank all the faculty for their valuable dedicated contributions which will motivate to upskill the work Thanks to Rly min,appreciation
proposed patna varanasi intercity will be effective if routed via gaya and 7 00a m from patna,request new service
proposed patna varanasi intercity will be effective if routed via gaya and 7.00a.m.from patna,request new service
Proud of my IndArmy.,appreciation
Proud of the nation,appreciation
Proud of u,appreciation
Proud to be an Indian!,appreciation
Proud to have worked in DLW for >5 years long back,appreciation
Provide my flexi fair back. This train is worst then kerela and tamilnadu express we paid equal amount as flight.,poor service
provide the new train between ankleshvar to vapi at 6pm in evening because after 5 to 7 pm no train available at ankleshvar for going to home Passengers are disappointed without train 6 pm Please arrange the new train immediately That is the solution of traffic,request new service
provided Local Contact no for easy conversation with client But nobody responding from long period 02222620684 02267644002 02267644235 Why Officers ignoring public in a such a smart wat,staff complain
Public Toilet at Patna Junction is demanding 5 times the rate as on the rate chart. And he isn't afraid of complain. Either change the rate chart or change the person managing it. pic.twitter.com/gFDMqmiscD,staff complain
Pulse polio Immunisation Camp at Railway Hospital,request new service
Punctuality Do you know the exact meaning of that word ???,train delay
punctuality of passenger trains must included in this evaluation They are kept unlimited waiting in loop sidings,request new service
Punctuality Really? This is nt the first time sir I hope u mean it Nd would ensure Railway's punctuality seriously,train delay
PUNE - HTE express was delayed by 2 hrs which made me miss my flight.Can this be looked into as it causes a lot of distress to passengers.,train delay
Pune crime branch is very bad,poor service
pune Miraj section under Wadi junction Miraj junction via Bijapur new rail line sanction the project possibly sir,request new service
punjab mail new Delhi to mumbai cstm all the reserved bogies have become general travellers bogies Miserable experience can't use the toilet too Security no 182 nobody is answering Shall take this to the higher authority Jai hind,staff complain
Punjab Mail Train number 12138 had arrived at Shakir Basti station at 4:55am But train is still there after 45 minutes It took me 1 hour while waiting for the train and train is still not moving Kindly take action,train delay
Pure robbery at Secunderabad railway station parking Please regulate,security problem
quality of food is worse in Swarna Jayanti Rajdhani 12958 Sahi curd is of quality that even a dog can not sniff licking is too far to discuss just crossing Rewari,poor service
Quality of Tea Coffee is required to be improve,poor service
qualty f evng sncks is getting down it seems in 12423 i boarded in katihar there ws no pack juice vch we used to get earlier No sweet Also quality of Samosa was poor It ws not even hot proprly seems fare incrsd srvices dcreasd,poor service
Quasi Administrative Staff in Railways Their regularzation please help us we are waiting,staff complain
quota should be equally divide between Ladies and Senior citizens... Railway must not ignore senior citizens when it comes to giving such benefits....,request new service
R All can you drink this water Platform number 1 Agra fort,hygiene
R sir travelling in MAS DURANTO 12270 FOOD QUALITY IS TOO POOR INFACT HORRIBLE LOW QUALITY OF RICE N FULL PANI DAL EVEN SABJI PLS TAKE SUM ACTION,poor service
R u serious?10000hp ??more than wag9,appreciation
Rail badhe Desh badhe,appreciation
rail know only ti hike fare and suck blood of common man Bc no value of time sote raho haramkhoro,train delay
rail loot see how 4a1FE TU1Wa056S3p8MU1ZeE5wZU95ZU9Hd817UuMLtZ 5rQ2AGp76GBCbxP9fpMGVY3xR8FXoIuxS,security problem
rail neer is not available in GOMO station,poor service
Rail services deterioting day by day. After arrival time passed train number 28182 is announced indefinite late. waiting at Khagaria Jn. Clueless....,train delay
rail stinking very badly Unbearable stench PNR 8202294824,hygiene
rail wire wifi not joining right now,poor service
railinfo Railway happy Holi No information abt 7 50pm csmt tna local All later trains deprted Are we supposed to wait and celebrate Holi at csmt expecting our local prob csmt tna local alwys,train delay
RailNews Please extend Punalur to Madurai passenger upto Palani and make it express train This is a very popular demand,request new service
Railway 12807 delayed and stand up for last an hour Stuck up,train delay
railway 14004 NDLS MLDT EXP STAND FROM 1HR BEFORE LUCKNOW RAILWAY STATION WHAT A WORST SERVICE LKO STATION MANAGEMENT IS GIVING PLZ SHUTDOWN THIS STATION ALL TRAINS BEING LATE HERE BECAUSE FOOLISH PEOPLE ARE WORKING HERE,train delay
Railway App NTES NOT working last three hours Please resolve the issue,poor service
Railway awaiting for your confirmation for below tickets for senior citizens traveling on 18th April 2018 The tickets are not yet confirmed PNR 8202466729 Hopefully it get confirmed before date,poor service
Railway catering service provides a bread cutlet of 40rs they serving this without menu my PNR 2243447892 pic.twitter.com/7DYl2DA6iz,poor service
Railway catering staff is serving veg food plate at Rs 100 per meal Even after telling about standard rates and demanding they refused Train no 17613 B1 seat no 59 Will I go hungry? Pls help,staff complain
Railway CRly Sir when this Bolaram Passenger will come to right time sir? It come daily half an hour late furthermore it reaches Solapur 9 50pm instead of 9 00pm Plz take necessary action sir,train delay
Railway CRly thanks for the hygienic and tasty lunch served today Mar 7 by attentive staff in Durnto Exp Train No 12223 Good things certainly deserve appreciation,request new service
Railway Dear sir even after 1yr no action has taken to retain actual running time of train 12897 Please see my last yr tweet for same train Agn I m going to travel in same train and with same problem running late my PNR 6210484916 Plz do needful,train delay
Railway Dear sir even after 1yr no action has taken to retain actual running time of train 12897 Please see my previous for same train Agn I m going to travel in same train and with same problem running late my PNR 6210484916 Plz do needfulThanks,train delay
railway dear sir some one broke the pipe of washroom of general of train 18245 running nearby ujjain Please check if water flow can be stop I have tried but unable to stopTank is getting empty Thanking you One sincere Bhartiya,hygiene
Railway Experience very worst in 2AC No one came for cleaning and after complain also No one responded and great thing that complaint got closed within 10 minutes dont know for what joy Feedback code 1329Train: 12194,poor service
Railway Fans are not on in 1:50 PM Thane vashi local pls inform concerned person,poor service
Railway fulfilled his social responsibility It's shows that railway how much dedicated towards society,appreciation
Railway has achieved some yhing as cleaniness is concerned But now you have long way to go for maintaining punctuality,train delay
Railway has perfected the art of being always late and harassing the commuters brutally,train delay
Railway has perfected the art of being always late and harassing the commuters brutally,train delay
Railway I boarded Shalimar express down to mumbai from malkapur Fans and light are not working Train no 18030PNR 6410581181,poor service
